Crew	Level	Craft cost	Uncommon Prime Directive	Basic Casing	Basic Power Cell	Basic Emitter Crystal	Basic Expansion Module	Basic Clothing Pattern	Common Clothing Pattern	Basic Bajoran Phaser	Common Database	Uncommon Database	Common Raktajino	Common Encoded Communique	Common Criminal Activity Report	Uncommon Covert Contacts	Uncommon Clothing Pattern	Basic Polyalloy	Common Polyalloy	Basic Identification Code	Basic Security Reports	Basic Case Files	Uncommon Bajoran PADD	Basic Synthesized Polymer	Basic Alcohol	Common Alcohol	Uncommon Alcohol	Basic Text Book	Common Case Files	Rare Alcohol	Uncommon Spring Wine	Common Orb Experience	Uncommon Security Codes	Basic Optronic Circuit	Common Optronic Circuit	Basic Subprocessor	Basic First Contact Protocol	Basic Holoprogram	Common Ancient Film	Common Holoprogram	Basic Optronic Data Core	Uncommon Polyalloy	Rare Polyalloy	Basic Desktop Monitor	Common Subprocessor	Uncommon Subprocessor	Basic Authorization Code	Common Identification Code	Rare Furs	Basic Database	Uncommon Authorization Code	Common Novel	Rare Database	Super Rare Database	Basic Translation Algorithm	Uncommon Encoded Communique	Uncommon Ancient Film	Super Rare Spices	Uncommon Casing	Rare Casing	Super Rare Clothing Pattern	Common Synthesized Polymer	Uncommon Synthesized Polymer	Basic Isolinear Chips	Uncommon Expansion Module	Super Rare Alcohol	Basic Coffee	Basic Writing PADD	Uncommon Novel	Basic Ancient Film	Common Interlink	Basic Tricorder	Basic Alpha-wave Inducer	Basic Science Experiment	Basic Submicron Scanner	Basic Detronal Scanner	Common Neutron Microscope	Basic TR-580 Medical Tricorder	Common Science Experiment	Common Power Cell	Basic Bone-Knitting Laser	Common Furs	Common Medical Experiment	Basic Scalpel	Basic Autosuture	Common Emitter Crystal	Basic Cortical Stimulator	Common Scalpel	Common Isolinear Chips	Basic Dermal Regenerator	Uncommon Interlink	Basic Hypospray	Common Casing	Common Sensor	Uncommon Sensor	Uncommon Science Experiment	Rare Interlink	Rare Clothing Pattern	Uncommon Isolinear Chips	Basic Writing PADD	Uncommon Medical Experiment	Basic Medical Experiment	Basic Orchids	Rare Isolinear Chips	Common Expansion Module	Super Rare Microconnector	Basic Cortical Monitor	Super Rare Interlink	Basic Physiostimulator	Basic Gravimetric Scanner	Basic Tricorder Mark VII	Basic Writing PADD	Uncommon Furs	Basic Phaser Type 2	Basic Hoverball	Common Spices	Uncommon Spices	Common Gold-Pressed Latinum	Basic Isomodulator	Common Astrometric Chart	Uncommon Astrometric Chart	Basic Sensor	Basic Parametric Scanner	Rare Incense	Rare Gold-Pressed Latinum	Rare Power Cell	Rare Relay	Basic Interphasic Scanner	Rare Subprocessor	Uncommon Relay	Super Rare Synthesized Polymer	Basic TR-590 Tricorder X	Uncommon Bajoran Earring	Uncommon Emitter Crystal	Common Phaser Type 1	Uncommon Phaser Type 1	Rare Synthesized Polymer	Uncommon Raktajino	Common Poker Cards	Uncommon Combadge	Basic Casino Chip	Rare Microconnector	Super Rare Polyalloy	Basic Phaser Type 2	Uncommon Writing PADD	Uncommon Holoprogram	Common Security Codes	Basic Phaser Type 3	Common Authorization Code	Uncommon Tactical Alert	Uncommon Field Rations	Super Rare Casing	Rare Spices	Super Rare Gold-Pressed Latinum	Common Coffee	Basic Isolinear Rod	Basic Starfleet Uniform Pattern	Basic Furs	Basic Combadge	Basic Desktop Monitor	Basic Palm Beacon	Basic Darts	Basic Magnasite-Nitron Tablet	Basic Photon Grenade	Uncommon Microconnector	Super Rare Furs	Basic Micro-Optic Drill	Common Toolbox	Uncommon Scalpel	Basic Hyperspanner	Basic ODN Recoupler	Uncommon Incense	Uncommon Earl Grey Tea	Basic Quantum Chronometer	Uncommon Backpack	Common Microconnector	Basic Neurocortical Monitor	Basic Interlink	Basic Relay	Common Relay	Basic Microconnector	Rare Expansion Module	Basic Subcutaneous Transponder	Rare Sensor	Super Rare Sensor	Basic Phaser Type 2	Basic Encoded Communique	Basic Maquis Security Outfit	Basic Maquis Emblem	Common Maquis Pistol	Common Maquis Emblem	Basic Maquis Command Outfit	Super Rare Isolinear Chips	Basic Incense	Basic Earl Grey Tea	Common 3d Chess Set	Common IDIC	Common Vulcan Meditation Lamp	Uncommon Vulcan Meditation Lamp	Uncommon Power Cell	Rare Emitter Crystal	Uncommon Maquis Pistol	Uncommon IDIC	Basic Communicator	Basic Security Codes	Common Prime Directive	Basic Stun Grenade	Uncommon Optronic Circuit	Basic Interphasic Coil Spanner	Common Self-sealing Stem Bolt	Basic Duotronic Probe	Basic Gravitic Caliper	Common Desealing Rod	Basic Hyperspanner	Basic EPI Capacitor	Basic EJ-7 Interlock	Uncommon Orb Experience	Common Cardassian Encryption Algorithm	Basic Emergency Transponder	Uncommon Cardassian Communicator	Common Cardassian Disruptor Pistol	Common Resistance Cipher	Basic Bajoran Earring	Basic Cardassian Disruptor Pistol	Common Central Command Insignia	Super Rare Emitter Crystal	Uncommon Central Command Insignia	Common Incense	Super Rare Incense	Basic Bajoran PADD	Common Vedek Robes	Uncommon Vedek Robes	Common Bajoran Combadge	Common D'k tahg	Uncommon Klingon Warnog	Uncommon Klingon Armor	Common Agonizer	Common KCA Icon	Uncommon Klingon House Crest	Basic Gagh	Uncommon KCA Icon	Basic Agonizer	Uncommon Bloodwine	Common Gagh	Basic Klingon Baldric	Basic Bloodwine	Common Klingon House Crest	Common Klingon Disruptor Pistol	Common Bat'leth	Basic Klingon Armor	Common Klingon Armor	Basic Klingon Warnog	Uncommon Agonizer	Common Bloodwine	Common Terran Emblem	Basic Mek'leth	Common Starfleet Uniform Pattern	Common Klingon Disruptor Rifle	Uncommon Starfleet Uniform Pattern	Rare Starfleet Uniform Pattern	Super Rare Power Cell	Rare Optronic Circuit	Super Rare Optronic Circuit	Super Rare Subprocessor	Super Rare Relay	Basic Decoupler	Basic Combadge	Uncommon Pattern Enhancer	Super Rare Starfleet Uniform Pattern	Basic Communicator	Basic Spices	Common Writing PADD	Basic Spectral Micrometer	Basic Quantum Oscillator	Basic Radiation Collector	Basic Kurlan Naiskos	Basic Translator	Basic Phaser Type 2	Basic Desktop Monitor	Basic Wrench	Basic Plasma Torch	Basic Micro-Resonator	Basic Laser Scalpel	Basic Flux Coupler	Basic Gold-Pressed Latinum	Basic Starfleet Uniform	Uncommon Gold-Pressed Latinum	Basic Hand Scanner	Common Klingon Warnog	Basic Sonic Driver	Basic Imperial Guard Emblem	Common Andorian Ale	Common Terran Knife	Uncommon Terran Knife	Basic Poisoned Drink	Uncommon Terran Emblem	Uncommon Gagh	Basic Kadis-Kot	Common Tactical Alert	Uncommon Ferengi PADD	Common Phase Pistol	Basic Quantum Flux Regulator	Basic Writing PADD	Basic Vulcan Robes	Basic Medical Scanner	Basic Heavy Scanner	Uncommon Great Material Continuum Texts	Super Rare Expansion Module	Common Field Rations	Basic Variable Field Damper	Uncommon Multidimensional Transporter Device	Common Backpack	Basic Hirogen Hunter Armor	Common Hirogen Hunter Armor	Common Hirogen Alpha Mark	Common Hirogen Tetryon Rifle	Basic Transporter Control Module	Common Hirogen Relic	Basic Compression Rifle	Basic Kazon Furs	Basic Kazon Name	Uncommon Hirogen Scanner	Uncommon Dominion Seal	Common Covert Contacts	Basic Laser Beacon	Common Tulaberry Wine	Basic Dominion PADD	Uncommon Ketracel-white	Basic Dominion Seal	Basic Phaser Type 1	Basic Cardassian Communicator	Common Cardassian PADD	Basic Phaser Type 3	Common Terran Slave Emblem	Uncommon Virtual Display Device	Uncommon Star Empire Icon	Uncommon Romulan Ale	Basic Romulan Encryption Algorithm	Common Romulan Disruptor	Uncommon Romulan Encryption Algorithm	Basic Romulan Ale	Uncommon Jem'Hadar Scanner	Basic Jem'Hadar Knife	Common Jem'Hadar Knife	Common Kazon Disruptor Pistol	Basic Pattern Enhancer	Basic Prime Directive	Basic Klingon Disruptor Pistol	Basic Phaser Type 3	Common Rules of Acquisition	Common Tube Grubs	Basic Tube Grubs	Uncommon Rules of Acquisition	Common Great Material Continuum Texts	Uncommon Tube Grubs	Uncommon Slug-o-Cola	Uncommon Latinum Tooth Sharpener	Common Boy Scout Badge	Basic Romulan Disruptor	Uncommon Kanar	Uncommon Augment Icon	Basic Ceti Eel	Basic Rules of Acquisition	Basic Poker Cards	Common Earl Grey Tea	Basic Starfleet Uniform	Basic Graviton Emitter	Basic Medical Scanner	Uncommon Andorian Rifle	Basic Heavy Duty Tricorder
Zhian'tara Odo	30	728850	1	7	14	7	24	28	14	21	36	38	4	3	12	1	12	16	24	52	26	18	8	15	104	56	37	9	14	10	4	2	2	8	8	44	26	8	4	4	4	6	6	10	17	4	13	12	16	34	4	5	19	4	16	6	1	8	6	6	4	4	2	4	2	4	4	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Danara Pel	1	415100	0	33	4	0	0	128	138	0	49	20	0	0	0	0	18	6	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	2	0	80	0	0	6	0	0	0	0	0	2	0	3	2	0	0	0	0	0	0	0	0	60	36	1	44	13	3	3	2	23	1	4	3	1	1	12	2	2	1	16	2	12	8	8	2	4	3	4	4	4	3	2	3	4	2	4	3	4	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lenara Kahn	30	588000	4	0	0	0	0	35	28	0	36	36	0	0	0	0	0	0	0	0	0	0	0	28	52	26	22	8	0	10	0	0	0	8	8	8	18	4	4	4	4	0	0	0	0	3	0	0	0	36	0	0	4	8	0	0	0	3	20	12	4	0	22	8	1	0	4	1	2	2	0	18	0	7	16	0	0	0	0	26	0	28	0	0	0	0	0	0	14	0	0	0	24	0	0	6	0	0	2	0	0	0	0	0	0	3	0	0	0	4	7	16	18	2	12	20	20	20	20	2	2	3	1	12	6	9	11	8	3	3	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Angel I Riker	50	386750	3	0	0	0	8	10	10	0	38	2	0	0	0	0	8	0	0	21	0	0	0	0	32	24	10	0	0	5	0	0	0	2	2	18	13	9	1	1	1	4	4	8	12	2	4	21	0	0	0	0	2	0	0	0	1	0	0	0	0	32	19	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	1	4	2	8	2	16	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anbo-jyutsu Riker	20	368100	2	0	0	0	10	48	12	0	35	4	0	0	5	0	0	0	16	0	5	5	0	0	12	6	2	0	10	0	0	0	2	0	0	10	1	0	0	0	0	16	6	10	0	0	0	11	3	0	1	0	4	0	0	0	0	0	18	0	0	6	0	0	0	0	4	1	0	2	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	12	0	2	0	4	12	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	10	0	2	2	1	1	3	24	1	1	4	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protomorphosis Riker	1	556550	0	30	8	1	6	30	0	0	56	13	2	1	6	0	12	34	50	0	2	2	0	0	4	2	0	0	3	0	0	0	9	0	0	6	0	0	0	0	0	6	10	6	1	0	0	9	0	8	7	0	4	2	0	0	0	0	2	4	0	39	0	0	0	0	0	0	0	0	0	4	0	24	4	0	0	2	4	0	0	12	4	8	0	0	0	0	0	1	0	4	8	2	0	6	0	0	6	6	7	6	0	0	0	0	0	0	0	0	0	0	16	1	0	0	2	8	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	8	0	0	1	0	2	2	2	0	2	0	1	1	9	36	9	2	4	4	36	1	6	8	2	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edith Keeler	10	582750	0	58	28	12	0	60	26	0	32	8	0	0	0	0	10	2	18	0	0	0	0	128	25	10	1	2	0	0	0	0	0	4	4	20	20	15	6	2	2	4	8	0	2	0	8	0	9	118	0	8	9	0	12	0	2	0	12	6	4	39	18	0	0	0	4	2	0	2	0	0	8	0	6	0	0	13	0	4	0	0	0	0	0	0	0	0	0	17	0	7	42	6	0	0	0	0	0	22	4	22	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	2	8	8	18	1	6	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Assimilated Tuvok	90	208150	0	1	3	0	0	0	0	0	0	4	0	2	0	0	0	32	17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	1	0	2	0	8	5	0	0	2	3	0	0	0	2	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	30	12	11	24	1	2	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maquis Tuvok	50	772200	0	1	3	0	18	10	0	0	0	21	0	3	7	3	15	0	0	0	9	7	0	0	0	0	0	64	14	0	0	0	14	1	0	18	64	0	0	0	0	0	0	18	4	0	0	2	0	96	3	0	4	5	24	4	0	0	2	2	4	0	0	65	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	20	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	6	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	10	13	6	24	11	2	2	1	1	2	1	1	13	12	6	4	8	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Resilient Tuvok	40	796400	0	20	23	20	22	0	0	0	30	30	2	0	8	0	0	0	48	0	2	2	0	0	0	0	0	10	6	0	0	0	8	0	0	18	4	6	0	0	0	9	4	18	2	18	0	0	0	55	0	0	0	2	20	2	0	0	12	3	0	0	4	4	4	0	0	0	0	0	2	6	13	2	12	6	0	0	0	40	0	0	0	0	0	0	0	0	4	0	0	0	12	2	4	2	0	0	4	0	0	0	0	9	4	0	0	0	0	0	0	8	0	0	0	0	0	0	16	0	1	63	0	0	0	10	16	0	22	12	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	16	2	8	0	4	0	0	0	8	18	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	24	18	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	8	6	3	2	8	4	2	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
