Name	Have	Short name	Max rarity	Rarity	Level	Immortal	Equipment	Tier	In portal	Collections	Voyage rank	Gauntlet rank	Command core	Command min	Command max	Diplomacy core	Diplomacy min	Diplomacy max	Engineering core	Engineering min	Engineering max	Medicine core	Medicine min	Medicine max	Science core	Science min	Science max	Security core	Security min	Security max	Traits	Action name	Boosts	Amount	Initialize	Duration	Cooldown	Bonus Ability	Trigger	Uses per Battle	Handicap Type	Handicap Amount	Accuracy	Crit Bonus	Crit Rating	Evasion	Charge Phases
Constable Odo	TRUE	Odo	3	3	100	1	0 1 2 3	4	TRUE	Rare Crew	859	872	365	121	254	0	0	0	0	0	0	0	0	0	0	0	0	607	31	98	["Changeling","Bajoran","Constable","Investigator","Interrogator","nonhuman","male","organic","ds9","odo","crew_max_rarity_3"]	Justice	Attack	6	10	12	16				Shield Regeneration	800	520	300	75		
Jazz Musician Odo	TRUE	Odo	5	1	100	0	0 1 2 3	9	TRUE	Holodeck Enthusiasts	427	241	0	0	0	815	220	440	0	0	0	0	0	0	0	0	0	355	213	687	["Changeling","Bajoran","Constable","Costumed","Romantic","Musician","nonhuman","male","organic","ds9","odo","crew_max_rarity_5"]	Holosuite Romeo	Evasion	8	12	10	14	+1000 to Crit Rating	None				245	350	110	475	
Trader Odo	TRUE	Odo	4	4	100	1	0 1 2 3	8	TRUE		732	824	0	0	0	998	123	280	0	0	0	0	0	0	0	0	0	738	84	166	["Changeling","Costumed","Merchant","Shapeshifter","nonhuman","organic","ds9","odo","crew_max_rarity_4"]	Tribble Trouble	Attack	7	10	10	10	+1000 to Crit Rating	Boarding				455	60	155	440	
Stranded Odo	TRUE	Odo	4	4	100	1	0 1 2 3	9	TRUE		618	616	830	212	462	462	56	136	0	0	0	0	0	0	0	0	0	625	62	125	["Changeling","Desperate","Bajoran","Survivalist","nonhuman","organic","ds9","odo","crew_max_rarity_4"]	Not Without a Fight	Attack	6	8	10	10	+1250 to Crit Rating	Cloak				275	70	130	465	
Zhian'tara Odo	TRUE	Odo	5	1	40	0		6	TRUE		226	475	170	38	75	238	26	62	0	0	0	0	0	0	0	0	0	95	10	24	["Changeling","Communicator","Bajoran","Trill","Constable","Zhian'tara","Investigator","nonhuman","organic","ds9","odo","dax","crew_max_rarity_5"]	It's Better This Way	Attack	6	6	10	12	+1000 to Crit Rating	None				580	225	5	440	After 6s +undefined to Crit Rating; After 14s +undefined to Crit Rating
Gaia Odo	TRUE	Odo	2	2	100	1	0 1 2 3	4	TRUE	Uncommon Crew	904	929	0	0	0	442	61	151	0	0	0	0	0	0	0	0	0	302	28	95	["Changeling","Bajoran","Constable","Romantic","Communicator","nonhuman","male","organic","ds9","odo","crew_max_rarity_2"]	You Have To Go Home	Accuracy	3	10	12	10	Increase bonus boost by +2	Cloak				630	135	58	315	
Army Chaplain Odo	TRUE	Odo	4	4	100	1	0 1 2 3	7	TRUE	Timelines' Originals	549	553	393	78	195	879	194	410	0	0	0	0	0	0	0	0	0	728	89	186	["Changeling","Spiritual","Bajoran","Communicator","Constable","Undercover Operative","nonhuman","organic","ds9","odo","original","crew_max_rarity_4"]	Mysterious Ways	Evasion	6	8	8	8	Immediately repairs Shields by 15%	None	3			625	105	10	440	
Douglas Pabst	TRUE	Douglas	4	4	100	1	0 1 2 3	7	TRUE		532	490	875	188	419	683	112	231	0	0	0	0	0	0	423	71	208	0	0	0	["Writer","Human","Civilian","Communicator","Resourceful","male","organic","ds9","odo","crew_max_rarity_4"]	Anybody Got Any Ideas?	Accuracy	8	8	10	10				Evasion	1	500	205	70	440	
Dabo Girl Leeta	TRUE	Leeta	2	2	100	1	0 1 2 3	5	TRUE	Uncommon Crew	921	934	299	27	71	374	43	160	0	0	0	0	0	0	0	0	0	0	0	0	["Bajoran","Civilian","Bartender","Romantic","female","nonhuman","organic","ds9","leeta","crew_max_rarity_2"]	Dabo!	Accuracy	2	0	10	14	+300 to Crit Rating	None				95	250	41	220	After 7s +850 to Crit Rating; After 14s +1200 to Crit Rating
Mirror Leeta	TRUE	Leeta	4	4	100	1	0 1 2 3	7	TRUE	Smoke and Mirrors	545	680	856	169	411	462	36	72	0	0	0	0	0	0	0	0	0	785	87	176	["Bajoran","Mirror Universe","Romantic","Terran Empire","female","nonhuman","organic","ds9","leeta","crew_max_rarity_4"]	I Don't Think So	Accuracy	5	4	12	10	+1500 to Crit Rating	None	2			575	275	148	350	
